"uri","rdf_type","name","species_name","code","website","CodeGO2","CodeTRUEL-VASSAL","CodeVIVC","Mere","NumAgrementOfficiel","Pere","synonyms"
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl86","vocabulary:Accession","CARDINAL RG Cl86","Vitis vinifera subsp. vinifera","86",NA,"70700431",NA,NA,NA,"86",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl87","vocabulary:Accession","CARDINAL RG Cl87","Vitis vinifera subsp. vinifera","87",NA,"70700671",NA,NA,NA,"87",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carignan_blanc_b","vocabulary:Variety","CARIGNAN BLANC B","Vitis vinifera subsp. vinifera","19","https://plantgrape.plantnet-project.org/fr/cepage/carignan%20blanc","1131","19",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_blanc_b_cl1256","vocabulary:Accession","CARIGNAN BLANC B Cl1256","Vitis vinifera subsp. vinifera","1256",NA,"113101111",NA,NA,NA,"1256",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carignan_gris","vocabulary:Variety","CARIGNAN GRIS","Vitis vinifera subsp. vinifera","20","https://plantgrape.plantnet-project.org/fr/cepage/carignan%20gris","1133","20",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_gris_cl1261","vocabulary:Accession","CARIGNAN GRIS Cl1261","Vitis vinifera subsp. vinifera","1261",NA,"113300111",NA,NA,NA,"1261",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carignan_n","vocabulary:Variety","CARIGNAN N","Vitis vinifera subsp. vinifera","18","https://plantgrape.plantnet-project.org/fr/cepage/carignan","1135","18",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl151","vocabulary:Accession","CARIGNAN N Cl151","Vitis vinifera subsp. vinifera","151",NA,"113502681",NA,NA,NA,"151",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl152","vocabulary:Accession","CARIGNAN N Cl152","Vitis vinifera subsp. vinifera","152",NA,"113502691",NA,NA,NA,"152",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl153","vocabulary:Accession","CARIGNAN N Cl153","Vitis vinifera subsp. vinifera","153",NA,"113502701",NA,NA,NA,"153",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl171","vocabulary:Accession","CARIGNAN N Cl171","Vitis vinifera subsp. vinifera","171",NA,"113500911",NA,NA,NA,"171",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl178","vocabulary:Accession","CARIGNAN N Cl178","Vitis vinifera subsp. vinifera","178",NA,"113502711",NA,NA,NA,"178",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl179","vocabulary:Accession","CARIGNAN N Cl179","Vitis vinifera subsp. vinifera","179",NA,"113502721",NA,NA,NA,"179",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl270","vocabulary:Accession","CARIGNAN N Cl270","Vitis vinifera subsp. vinifera","270",NA,"113500501",NA,NA,NA,"270",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl271","vocabulary:Accession","CARIGNAN N Cl271","Vitis vinifera subsp. vinifera","271",NA,"113500741",NA,NA,NA,"271",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl272","vocabulary:Accession","CARIGNAN N Cl272","Vitis vinifera subsp. vinifera","272",NA,"113500761",NA,NA,NA,"272",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl273","vocabulary:Accession","CARIGNAN N Cl273","Vitis vinifera subsp. vinifera","273",NA,"113500771",NA,NA,NA,"273",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl274","vocabulary:Accession","CARIGNAN N Cl274","Vitis vinifera subsp. vinifera","274",NA,"113500851",NA,NA,NA,"274",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl275","vocabulary:Accession","CARIGNAN N Cl275","Vitis vinifera subsp. vinifera","275",NA,"113500861",NA,NA,NA,"275",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl276","vocabulary:Accession","CARIGNAN N Cl276","Vitis vinifera subsp. vinifera","276",NA,"113500961",NA,NA,NA,"276",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl505","vocabulary:Accession","CARIGNAN N Cl505","Vitis vinifera subsp. vinifera","505",NA,"113501811",NA,NA,NA,"505",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl547","vocabulary:Accession","CARIGNAN N Cl547","Vitis vinifera subsp. vinifera","547",NA,"113501871",NA,NA,NA,"547",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl6","vocabulary:Accession","CARIGNAN N Cl6","Vitis vinifera subsp. vinifera","6",NA,"113501441",NA,NA,NA,"6",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl62","vocabulary:Accession","CARIGNAN N Cl62","Vitis vinifera subsp. vinifera","62",NA,"113500841",NA,NA,NA,"62",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl63","vocabulary:Accession","CARIGNAN N Cl63","Vitis vinifera subsp. vinifera","63",NA,"113500931",NA,NA,NA,"63",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl64","vocabulary:Accession","CARIGNAN N Cl64","Vitis vinifera subsp. vinifera","64",NA,"113501021",NA,NA,NA,"64",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl65","vocabulary:Accession","CARIGNAN N Cl65","Vitis vinifera subsp. vinifera","65",NA,"113501042",NA,NA,NA,"65",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl66","vocabulary:Accession","CARIGNAN N Cl66","Vitis vinifera subsp. vinifera","66",NA,"113501501",NA,NA,NA,"66",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl7","vocabulary:Accession","CARIGNAN N Cl7","Vitis vinifera subsp. vinifera","7",NA,"113501241",NA,NA,NA,"7",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl8","vocabulary:Accession","CARIGNAN N Cl8","Vitis vinifera subsp. vinifera","8",NA,"113501281",NA,NA,NA,"8",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl9","vocabulary:Accession","CARIGNAN N Cl9","Vitis vinifera subsp. vinifera","9",NA,"113501341",NA,NA,NA,"9",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl90","vocabulary:Accession","CARIGNAN N Cl90","Vitis vinifera subsp. vinifera","90",NA,"113501051",NA,NA,NA,"90",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carla_n","vocabulary:Variety","CARLA N","Vitis vinifera subsp. vinifera","2959","https://plantgrape.plantnet-project.org/fr/cepage/carla","748","2959",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carla_n_cl972","vocabulary:Accession","CARLA N Cl972","Vitis vinifera subsp. vinifera","972",NA,"74800011",NA,NA,NA,"972",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carmenere_n","vocabulary:Variety","CARMENERE N","Vitis vinifera subsp. vinifera","323","https://plantgrape.plantnet-project.org/fr/cepage/carmenere","2103","323",NA,NA,NA,NA,NA
