"uri","name","alternative_name","description","datatype","URIgroup","group"
"https://cropontology.org/term/CO_356:1000124","MORPHO_OIV_617","Mature leaf: length between the tooth tip of N2 and the tooth tip of the first secondary vein of N2","Mature leaf: length between the tooth tip of N2 and the tooth tip of the first secondary vein of N2","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000125","MORPHO_OIV_093","Mature leaf: length of petiole compared to length of middle vein","Mature leaf: length of petiole compared to length of middle vein","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000126","MORPHO_OIV_606","Mature leaf: length petiole sinus to lower lateral leaf sinus","Mature leaf: length petiole sinus to lower lateral leaf sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000127","MORPHO_OIV_605","Mature leaf: length petiole sinus to upper lateral leaf sinus","Mature leaf: length petiole sinus to upper lateral leaf sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000128","MORPHO_OIV_612","Mature leaf: length of tooth N2","Mature leaf: length of tooth N2","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000129","MORPHO_OIV_614","Mature leaf: length of tooth N4","Mature leaf: length of tooth N4","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000130","MORPHO_OIV_078","Mature leaf: length of teeth compared with their width","Mature leaf: length of teeth compared with their width","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000131","MORPHO_OIV_601","Mature leaf: length of vein N1","Mature leaf: length of vein N1","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000132","MORPHO_OIV_602","Mature leaf: length of vein N2","Mature leaf: length of vein N2","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000133","MORPHO_OIV_603","Mature leaf: length of vein N3","Mature leaf: length of vein N3","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000134","MORPHO_OIV_604","Mature leaf: length of vein N4","Mature leaf: length of vein N4","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000135","MORPHO_OIV_611","Mature leaf: length of vein N5","Mature leaf: length of vein N5","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000136","MORPHO_OIV_068","Mature leaf: number of lobes","Mature leaf: number of lobes","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000137","MORPHO_OIV_616","Mature leaf: number of teeth between the tooth tip of N2 and the tooth tip of the first secondary vein of N2 including the limits","Mature leaf: number of teeth between the tooth tip of N2 and the tooth tip of the first secondary vein of N2 including the limits","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000138","MORPHO_OIV_618","Mature leaf: opening/overlapping of petiole sinus","Mature leaf: opening/overlapping of petiole sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000139","MORPHO_OIV_074","Mature leaf: profile of blade in cross section","Mature leaf: profile of blade in cross section","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000140","MORPHO_OIV_088","Mature leaf: prostrate hairs on main veins on upper side of blade","Mature leaf: prostrate hairs on main veins on upper side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000141","MORPHO_OIV_081-2","Mature leaf: petiole sinus base limited by veins","Mature leaf: petiole sinus base limited by veins","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000142","MORPHO_OIV_065","Mature leaf: size of blade","Mature leaf: size of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000143","MORPHO_OIV_067","Mature leaf: shape of blade","Mature leaf: shape of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000144","MORPHO_OIV_080","Mature leaf: shape of base of petiole sinus","Mature leaf: shape of base of petiole sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000145","MORPHO_OIV_083-1","Mature leaf: shape of base of upper lateral sinuses","Mature leaf: shape of base of upper lateral sinuses","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000146","MORPHO_OIV_076","Mature leaf: shape of teeth","Mature leaf: shape of teeth","http://www.w3.org/2001/XMLSchema#string",NA,NA
